origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
995	26.284473	50.507564	55.309272	32	27052	1	Iran	IRN	Asia	389642973266.195	11
995	32	50.507564	51.667373	34.533332	27053	1	Iran	IRN	Asia	43552670432.5273	11
996	32	51.667373	55.309272	34.533332	27054	1	Iran	IRN	Asia	136759093001.984	11
996	25.719982	55.450443	55.90924	34.533332	27063	1	Iran	IRN	Asia	58029281399.4063	11
996	25.7833	55.90924	56.351398	34.533332	27067	1	Iran	IRN	Asia	55539568636.6367	11
995	25.103172	56.351398	60.636997	34.533332	27068	1	Iran	IRN	Asia	578314631062.84	11
995	25.103172	66.484939	68.42266	26.252521	27070	1	Pakistan	PAK	Asia	30623410033.3281	11
996	26.252521	66.484939	68.42266	34.533332	27071	1	Pakistan	PAK	Asia	230859851750.549	11
995	25.103172	68.42266	73.018272	26.281208	27072	1	India	IND	Asia	74450073421.4492	11
995	26.281208	68.42266	73.018272	30.964872	27073	1	Pakistan	PAK	Asia	304000108073.918	11
995	25.103172	73.018272	75.773101	26.919277	27074	1	India	IND	Asia	68990006097.8984	11
995	26.919277	73.018272	75.773101	30.964872	27075	1	India	IND	Asia	157871081182.465	11
995	25.103172	75.773101	76.438682	26.908298	27076	1	India	IND	Asia	16566790900.9609	11
995	26.908298	75.773101	76.438682	30.32456	27077	1	India	IND	Asia	32105467365.5352	11
995	25.103172	76.438682	76.849639	30.634677	27080	1	India	IND	Asia	31884789889.1055	11
995	30.964872	68.42266	69.056991	33.950187	27095	1	Afghanistan	AFG	Asia	27816552712.5625	11
995	30.964872	69.056991	71.692581	33.950187	27096	1	Pakistan	PAK	Asia	115575351297.184	11
995	33.950187	69.171699	71.692581	34.533332	27098	1	Afghanistan	AFG	Asia	22036497562.7891	11
995	30.964872	71.692581	73.017326	33.67802	27099	1	Pakistan	PAK	Asia	52714831578.4648	11
995	33.684043	71.692581	72.994316	34.533332	27101	1	Pakistan	PAK	Asia	16546674978.7578	11
995	31.713476	73.017326	74.249137	33.586978	27104	1	Pakistan	PAK	Asia	33968333635.3672	11
995	31.6	74.886405	77.061599	32.689781	27118	1	India	IND	Asia	34694375959.3984	11
