origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
13900	42.881057	-73.985321	-73.851264	42.977294	995	1	United States of America	USA	North America	218346723.023438	15
13901	42.977294	-73.985321	-73.851264	43.055252	995	1	United States of America	USA	North America	177125174.515625	15
13902	42.881057	-73.851264	-73.772315	43.055252	1990	1	United States of America	USA	North America	232901757.007812	15
13903	43.055252	-73.985321	-73.772315	43.080692	1990	1	United States of America	USA	North America	91918924.265625	15
13904	43.080692	-73.985321	-73.772315	43.084972	995	1	United States of America	USA	North America	15468097.421875	15
13906	42.881057	-73.772315	-73.737762	43.176654	1990	1	United States of America	USA	North America	173143473.226562	15
13907	42.881057	-73.737762	-73.669654	43.176654	995	1	United States of America	USA	North America	341286014.953125	15
13909	43.176654	-73.772315	-73.678733	43.413997	1990	1	United States of America	USA	North America	378166324.382812	15
13910	43.176654	-73.678733	-73.650833	43.413997	995	1	United States of America	USA	North America	112744335.992188	15
13912	43.413997	-73.985321	-73.714035	43.427204	995	1	United States of America	USA	North America	61128177.390625	15
13921	45.350769	-73.985321	-73.753334	45.350929	995	0			North America	654510.765625	15
13922	45.350929	-73.985321	-73.753334	45.350975	1991	0			North America	188172.179688	15
13923	45.020351	-73.753334	-73.753295	45.350975	1990	1	Canada	CAN	North America	226709.695312	15
13924	45.020351	-73.753295	-73.753189	45.350975	995	1	Canada	CAN	North America	616185.335938	15
13926	45.350975	-73.985321	-73.886039	45.479415	1990	0			North America	225111951.328125	15
13927	45.350975	-73.886039	-73.842803	45.479415	1990	0			North America	98033282.242188	15
13928	45.479415	-73.985321	-73.842803	45.497776	3981	0			North America	46255004.5625	15
13929	45.350975	-73.842803	-73.751449	45.497776	7961	0			North America	236785454.132812	15
13930	45.350975	-73.751449	-73.681144	45.452556	3980	1	Canada	CAN	North America	126044260.554688	15
13931	45.350975	-73.681144	-73.636611	45.452556	3981	1	Canada	CAN	North America	79839685.015625	15
13932	45.452556	-73.751449	-73.636611	45.497776	7962	1	Canada	CAN	North America	91770979.039062	15
13933	45.350975	-73.636611	-73.578613	45.497776	15923	0			North America	150328204.234375	15
13934	45.350975	-73.578613	-73.566558	45.497776	7961	1	Canada	CAN	North America	31246017.132812	15
13935	45.350975	-73.566558	-73.526565	45.497776	3981	0			North America	103660055.039062	15
13936	45.350975	-73.526565	-73.461921	45.497776	1990	1	Canada	CAN	North America	167554336.945312	15
13937	45.350975	-73.461921	-73.435981	45.497776	995	1	Canada	CAN	North America	67235311.875	15
13938	45.350975	-73.435981	-73.297424	45.497776	996	1	Canada	CAN	North America	359133504.492188	15
13939	45.497776	-73.985321	-73.297424	45.529075	63691	1	Canada	CAN	North America	380748407.507812	15
13951	40.648178	-73.297424	-73.155281	40.716754	995	0			North America	159286755.109375	15
13957	40.857471	-73.297424	-73.126502	40.91711	3980	1	United States of America	USA	North America	167089726.734375	15
13959	41.139186	-73.297424	-73.126502	41.144165	995	0			North America	14003561.3125	15
13960	41.144165	-73.297424	-73.126502	41.156196	1991	0			North America	33841875.898438	15
13961	41.156196	-73.297424	-73.126502	41.176315	7961	1	United States of America	USA	North America	56606409.328125	15
13962	40.857471	-73.126502	-72.901168	40.904102	7961	1	United States of America	USA	North America	172218651.992188	15
13963	40.904102	-73.126502	-72.901168	40.943824	3981	1	United States of America	USA	North America	146797977.203125	15
13964	40.943824	-73.126502	-72.901168	40.946899	1990	1	United States of America	USA	North America	11367755.78125	15
13965	40.946899	-73.126502	-72.901168	40.951313	995	1	United States of America	USA	North America	16318738.023438	15
13967	40.857471	-72.901168	-72.887634	41.176315	7961	0			North America	70872822.851562	15
13968	40.857471	-72.887634	-72.632659	40.926315	1990	1	United States of America	USA	North America	287750012.453125	15
13970	40.926315	-72.701515	-72.632659	41.176315	996	0			North America	282867889.070312	15
13971	40.857471	-72.632659	-72.424682	40.9034	1990	1	United States of America	USA	North America	156559247.632812	15
13972	40.9034	-72.632659	-72.424682	41.019149	995	0			North America	395039306.453125	15
13974	40.857471	-72.424682	-72.241592	40.94749	3980	1	United States of America	USA	North America	270221574.023438	15
13975	40.94749	-72.424682	-72.241592	41.044136	1990	1	United States of America	USA	North America	290525067.554688	15
13976	41.044136	-72.424682	-72.360076	41.176315	995	0			North America	140451316.476562	15
